video_id,title,url,name,score,second,frame,text
g9SAAbEsthU,ДОМ С МЕНТАМИ | 1 СЕРИЯ | ДЕТЕКТИВ | ПРЕМЬЕРА 2024,https://www.youtube.com/watch?v=g9SAAbEsthU,Егор Смирнов,1.0,2765.0,credits_scan_dom_s_mentami/frames/g9SAAbEsthU/frame_0023.jpg,НАД ФИЛЬМОМ РАБОТАЛИ ВТОРОЙ ОПЕРАТОР АНДРЕЙ ТЫЧИНИН ФОКУС-ПУЛЛЕРЫ / МЕХАНИКИ — ЕГОР СМИРНОВ / ВИТАЛИЙ ГАЙШУН ФРОЛ СОРОКИН / МАКСИМ ОКУЛОВСКИЙ ДМИТРИЙ ЛЕБЕДИНСКИЙ ГАФФЕР АЛЕКСАНДР МАТУСЕВИЧ 'ОСВЕТИТЕЛЬ АЛЕКСЕЙ ХОХЛОВ ПРОДЮСЕР ПОСТ-ПРОДАКШН ПО ЗВУКУ АЛЕКСЕЙ ВОРОШИЛОВ ЗВУКОРЕЖИССЁР ПЕРЕЗАПИСИ АЛЕКСЕЙ ВОРОШИЛОВ ЗВУКОРЕЖИССЁР НА ПЛОЩАДКЕ — АНТОН МИГУР РЕКОРДИСТЫ РЕЧЕВОГО ОЗВУЧАНИЯ МАКСИМ КОРОТКИЙ / НАДЕЖДА БАЛАШОВА КООРДИНАТОР ПОСТ-ПРОДАКШН ПО ЗВУКУ КСЕНИЯ ОБОРИНА. РЕЖИССЁР МОНТАЖА ИГОРЬ КОЛПАХЧИЕВ К
g9SAAbEsthU,ДОМ С МЕНТАМИ | 1 СЕРИЯ | ДЕТЕКТИВ | ПРЕМЬЕРА 2024,https://www.youtube.com/watch?v=g9SAAbEsthU,Егор Смирнов,1.0,2766.0,credits_scan_dom_s_mentami/frames/g9SAAbEsthU/frame_0024.jpg,НАД ФИЛЬМОМ РАБОТАЛИ ВТОРОЙ ОПЕРАТОР АНДРЕЙ ТЫЧИНИН ФОКУС-ПУЛЛЕРЫ / МЕХАНИКИ — ЕГОР СМИРНОВ / ВИТАЛИЙ ГАЙШУН ФРОЛ СОРОКИН / МАКСИМ ОКУЛОВСКИЙ ДМИТРИЙ ЛЕБЕДИНСКИЙ ГАФФЕР АЛЕКСАНДР МАТУСЕВИЧ 'ОСВЕТИТЕЛЬ АЛЕКСЕЙ ХОХЛОВ ПРОДЮСЕР ПОСТ-ПРОДАКШН ПО ЗВУКУ АЛЕКСЕЙ ВОРОШИЛОВ ЗВУКОРЕЖИССЁР ПЕРЕЗАПИСИ АЛЕКСЕЙ ВОРОШИЛОВ ЗВУКОРЕЖИССЁР НА ПЛОЩАДКЕ — АНТОН МИГУР РЕКОРДИСТЫ РЕЧЕВОГО ОЗВУЧАНИЯ МАКСИМ КОРОТКИЙ / НАДЕЖДА БАЛАШОВА КООРДИНАТОР ПОСТ-ПРОДАКШН ПО ЗВУКУ КСЕНИЯ ОБОРИНА. РЕЖИССЁР МОНТАЖА ИГОРЬ КОЛПАХЧИЕВ К
g9SAAbEsthU,ДОМ С МЕНТАМИ | 1 СЕРИЯ | ДЕТЕКТИВ | ПРЕМЬЕРА 2024,https://www.youtube.com/watch?v=g9SAAbEsthU,Егор Смирнов,1.0,2767.0,credits_scan_dom_s_mentami/frames/g9SAAbEsthU/frame_0025.jpg,НАД ФИЛЬМОМ РАБОТАЛИ ВТОРОЙ ОПЕРАТОР АНДРЕЙ ТЫЧИНИН ФОКУС-ПУЛЛЕРЫ / МЕХАНИКИ — ЕГОР СМИРНОВ / ВИТАЛИЙ ГАЙШУН ФРОЛ СОРОКИН / МАКСИМ ОКУЛОВСКИЙ ДМИТРИЙ ЛЕБЕДИНСКИЙ ГАФФЕР АЛЕКСАНДР МАТУСЕВИЧ 'ОСВЕТИТЕЛЬ АЛЕКСЕЙ ХОХЛОВ ПРОДЮСЕР ПОСТ-ПРОДАКШН ПО ЗВУКУ АЛЕКСЕЙ ВОРОШИЛОВ ЗВУКОРЕЖИССЁР ПЕРЕЗАПИСИ АЛЕКСЕЙ ВОРОШИЛОВ ЗВУКОРЕЖИССЁР НА ПЛОЩАДКЕ — АНТОН МИГУР РЕКОРДИСТЫ РЕЧЕВОГО ОЗВУЧАНИЯ МАКСИМ КОРОТКИЙ / НАДЕЖДА БАЛАШОВА КООРДИНАТОР ПОСТ-ПРОДАКШН ПО ЗВУКУ КСЕНИЯ ОБОРИНА РЕЖИССЁР МОНТАЖА ИГОРЬ КОЛПАХЧИЕВ КО
g9SAAbEsthU,ДОМ С МЕНТАМИ | 1 СЕРИЯ | ДЕТЕКТИВ | ПРЕМЬЕРА 2024,https://www.youtube.com/watch?v=g9SAAbEsthU,Егор Смирнов,1.0,2768.0,credits_scan_dom_s_mentami/frames/g9SAAbEsthU/frame_0026.jpg,НАД ФИЛЬМОМ РАБОТАЛИ ВТОРОЙ ОПЕРАТОР АНДРЕЙ ТЫЧИНИН ФОКУС-ПУЛЛЕРЫ / МЕХАНИКИ — ЕГОР СМИРНОВ / ВИТАЛИЙ ГАЙШУН ФРОЛ СОРОКИН / МАКСИМ ОКУЛОВСКИЙ ДМИТРИЙ ЛЕБЕДИНСКИЙ ГАФФЕР АЛЕКСАНДР МАТУСЕВИЧ 'ОСВЕТИТЕЛЬ АЛЕКСЕЙ ХОХЛОВ ПРОДЮСЕР ПОСТ-ПРОДАКШН ПО ЗВУКУ АЛЕКСЕЙ ВОРОШИЛОВ ЗВУКОРЕЖИССЁР ПЕРЕЗАПИСИ АЛЕКСЕЙ ВОРОШИЛОВ ЗВУКОРЕЖИССЁР НА ПЛОЩАДКЕ — АНТОН МИГУР РЕКОРДИСТЫ РЕЧЕВОГО ОЗВУЧАНИЯ МАКСИМ КОРОТКИЙ / НАДЕЖДА БАЛАШОВА КООРДИНАТОР ПОСТ-ПРОДАКШН ПО ЗВУКУ КСЕНИЯ ОБОРИНА РЕЖИССЁР МОНТАЖА ИГОРЬ КОЛПАХЧИЕВ КО
EMi1g_P2rus,Дом с ментами | 2 серия | Тени прошлого,https://www.youtube.com/watch?v=EMi1g_P2rus,Егор Смирнов,1.0,2426.0,credits_scan_dom_s_mentami/frames/EMi1g_P2rus/frame_0023.jpg,НАД ФИЛЬМОМ РАБОТАЛИ ВТОРОЙ ОПЕРАТОР АНДРЕЙ ТЫЧИНИН ФОКУС-ПУЛЛЕРЫ / МЕХАНИКИ — ЕГОР СМИРНОВ / ВИТАЛИЙ ГАЙШУН ФРОЛ СОРОКИН / МАКСИМ ОКУЛОВСКИЙ ДМИТРИЙ ЛЕБЕДИНСКИЙ ГАФФЕР АЛЕКСАНДР МАТУСЕВИЧ 'ОСВЕТИТЕЛЬ АЛЕКСЕЙ ХОХЛОВ ПРОДЮСЕР ПОСТ-ПРОДАКШН ПО ЗВУКУ АЛЕКСЕЙ ВОРОШИЛОВ ЗВУКОРЕЖИССЁР ПЕРЕЗАПИСИ АЛЕКСЕЙ ВОРОШИЛОВ ЗВУКОРЕЖИССЁР НА ПЛОЩАДКЕ — АНТОН МИГУР РЕКОРДИСТЫ РЕЧЕВОГО ОЗВУЧАНИЯ МАКСИМ КОРОТКИЙ / НАДЕЖДА БАЛАШОВА КООРДИНАТОР ПОСТ-ПРОДАКШН ПО ЗВУКУ КСЕНИЯ ОБОРИНА РЕЖИССЁР МОНТАЖА ИГОРЬ КОЛПАХЧИЕВ КО
EMi1g_P2rus,Дом с ментами | 2 серия | Тени прошлого,https://www.youtube.com/watch?v=EMi1g_P2rus,Егор Смирнов,1.0,2427.0,credits_scan_dom_s_mentami/frames/EMi1g_P2rus/frame_0024.jpg,НАД ФИЛЬМОМ РАБОТАЛИ ВТОРОЙ ОПЕРАТОР АНДРЕЙ ТЫЧИНИН ФОКУС-ПУЛЛЕРЫ / МЕХАНИКИ — ЕГОР СМИРНОВ / ВИТАЛИЙ ГАЙШУН ФРОЛ СОРОКИН / МАКСИМ ОКУЛОВСКИЙ ДМИТРИЙ ЛЕБЕДИНСКИЙ ГАФФЕР АЛЕКСАНДР МАТУСЕВИЧ 'ОСВЕТИТЕЛЬ АЛЕКСЕЙ ХОХЛОВ ПРОДЮСЕР ПОСТ-ПРОДАКШН ПО ЗВУКУ АЛЕКСЕЙ ВОРОШИЛОВ ЗВУКОРЕЖИССЁР ПЕРЕЗАПИСИ АЛЕКСЕЙ ВОРОШИЛОВ ЗВУКОРЕЖИССЁР НА ПЛОЩАДКЕ — АНТОН МИГУР РЕКОРДИСТЫ РЕЧЕВОГО ОЗВУЧАНИЯ МАКСИМ КОРОТКИЙ / НАДЕЖДА БАЛАШОВА КООРДИНАТОР ПОСТ-ПРОДАКШН ПО ЗВУКУ КСЕНИЯ ОБОРИНА РЕЖИССЁР МОНТАЖА ИГОРЬ КОЛПАХЧИЕВ КО
EMi1g_P2rus,Дом с ментами | 2 серия | Тени прошлого,https://www.youtube.com/watch?v=EMi1g_P2rus,Егор Смирнов,1.0,2428.0,credits_scan_dom_s_mentami/frames/EMi1g_P2rus/frame_0025.jpg,НАД ФИЛЬМОМ РАБОТАЛИ ВТОРОЙ ОПЕРАТОР АНДРЕЙ ТЫЧИНИН ФОКУС-ПУЛЛЕРЫ / МЕХАНИКИ — ЕГОР СМИРНОВ / ВИТАЛИЙ ГАЙШУН ФРОЛ СОРОКИН / МАКСИМ ОКУЛОВСКИЙ ДМИТРИЙ ЛЕБЕДИНСКИЙ ГАФФЕР АЛЕКСАНДР МАТУСЕВИЧ 'ОСВЕТИТЕЛЬ АЛЕКСЕЙ ХОХЛОВ ПРОДЮСЕР ПОСТ-ПРОДАКШН ПО ЗВУКУ АЛЕКСЕЙ ВОРОШИЛОВ ЗВУКОРЕЖИССЁР ПЕРЕЗАПИСИ АЛЕКСЕЙ ВОРОШИЛОВ ЗВУКОРЕЖИССЁР НА ПЛОЩАДКЕ АНТОН МИГУР. РЕКОРДИСТЫ РЕЧЕВОГО ОЗВУЧАНИЯ МАКСИМ КОРОТКИЙ / НАДЕЖДА БАЛАШОВА КООРДИНАТОР ПОСТ-ПРОДАКШН ПО ЗВУКУ КСЕНИЯ ОБОРИНА РЕЖИССЁР МОНТАЖА ИГОРЬ КОЛПАХЧИЕВ КОЛ
EMi1g_P2rus,Дом с ментами | 2 серия | Тени прошлого,https://www.youtube.com/watch?v=EMi1g_P2rus,Егор Смирнов,1.0,2429.0,credits_scan_dom_s_mentami/frames/EMi1g_P2rus/frame_0026.jpg,НАД ФИЛЬМОМ РАБОТАЛИ ВТОРОЙ ОПЕРАТОР АНДРЕЙ ТЫЧИНИН ФОКУС-ПУЛЛЕРЫ / МЕХАНИКИ — ЕГОР СМИРНОВ / ВИТАЛИЙ ГАЙШУН ФРОЛ СОРОКИН / МАКСИМ ОКУЛОВСКИЙ ДМИТРИЙ ЛЕБЕДИНСКИЙ ГАФФЕР АЛЕКСАНДР МАТУСЕВИЧ 'ОСВЕТИТЕЛЬ АЛЕКСЕЙ ХОХЛОВ ПРОДЮСЕР ПОСТ-ПРОДАКШН ПО ЗВУКУ АЛЕКСЕЙ ВОРОШИЛОВ ЗВУКОРЕЖИССЁР ПЕРЕЗАПИСИ АЛЕКСЕЙ ВОРОШИЛОВ ЗВУКОРЕЖИССЁР НА ПЛОЩАДКЕ АНТОН МИГУР. РЕКОРДИСТЫ РЕЧЕВОГО ОЗВУЧАНИЯ МАКСИМ КОРОТКИЙ / НАДЕЖДА БАЛАШОВА КООРДИНАТОР ПОСТ-ПРОДАКШН ПО ЗВУКУ КСЕНИЯ ОБОРИНА РЕЖИССЁР МОНТАЖА ИГОРЬ КОЛПАХЧИЕВ КОЛ
WMouECVFYlk,Дом с ментами | 5 серия | Тяга к природе,https://www.youtube.com/watch?v=WMouECVFYlk,Егор Смирнов,1.0,2398.0,credits_scan_dom_s_mentami/frames/WMouECVFYlk/frame_0029.jpg,НАД ФИЛЬМОМ РАБОТАЛИ ВТОРОЙ ОПЕРАТОР АНДРЕЙ ТЫЧИНИН ФОКУС-ПУЛЛЕРЫ / МЕХАНИКИ — ЕГОР СМИРНОВ / ВИТАЛИЙ ГАЙШУН ФРОЛ СОРОКИН / МАКСИМ ОКУЛОВСКИЙ ДМИТРИЙ ЛЕБЕДИНСКИЙ ГАФФЕР АЛЕКСАНДР МАТУСЕВИЧ 'ОСВЕТИТЕЛЬ АЛЕКСЕЙ ХОХЛОВ ПРОДЮСЕР ПОСТ-ПРОДАКШН ПО ЗВУКУ АЛЕКСЕЙ ВОРОШИЛОВ ЗВУКОРЕЖИССЁР ПЕРЕЗАПИСИ АЛЕКСЕЙ ВОРОШИЛОВ ЗВУКОРЕЖИССЁР НА ПЛОЩАДКЕ — АНТОН МИГУР РЕКОРДИСТЫ РЕЧЕВОГО ОЗВУЧАНИЯ МАКСИМ КОРОТКИЙ / НАДЕЖДА БАЛАШОВА КООРДИНАТОР ПОСТ-ПРОДАКШН ПО ЗВУКУ КСЕНИЯ ОБОРИНА РЕЖИССЁР МОНТАЖА ИГОРЬ КОЛПАХЧИЕВ КО
WMouECVFYlk,Дом с ментами | 5 серия | Тяга к природе,https://www.youtube.com/watch?v=WMouECVFYlk,Егор Смирнов,1.0,2399.0,credits_scan_dom_s_mentami/frames/WMouECVFYlk/frame_0030.jpg,НАД ФИЛЬМОМ РАБОТАЛИ ВТОРОЙ ОПЕРАТОР АНДРЕЙ ТЫЧИНИН ФОКУС-ПУЛЛЕРЫ / МЕХАНИКИ — ЕГОР СМИРНОВ / ВИТАЛИЙ ГАЙШУН ФРОЛ СОРОКИН / МАКСИМ ОКУЛОВСКИЙ ДМИТРИЙ ЛЕБЕДИНСКИЙ ГАФФЕР АЛЕКСАНДР МАТУСЕВИЧ 'ОСВЕТИТЕЛЬ АЛЕКСЕЙ ХОХЛОВ ПРОДЮСЕР ПОСТ-ПРОДАКШН ПО ЗВУКУ АЛЕКСЕЙ ВОРОШИЛОВ ЗВУКОРЕЖИССЁР ПЕРЕЗАПИСИ АЛЕКСЕЙ ВОРОШИЛОВ ЗВУКОРЕЖИССЁР НА ПЛОЩАДКЕ — АНТОН МИГУР РЕКОРДИСТЫ РЕЧЕВОГО ОЗВУЧАНИЯ МАКСИМ КОРОТКИЙ / НАДЕЖДА БАЛАШОВА КООРДИНАТОР ПОСТ-ПРОДАКШН ПО ЗВУКУ КСЕНИЯ ОБОРИНА РЕЖИССЁР МОНТАЖА ИГОРЬ КОЛПАХЧИЕВ КО
WMouECVFYlk,Дом с ментами | 5 серия | Тяга к природе,https://www.youtube.com/watch?v=WMouECVFYlk,Егор Смирнов,1.0,2400.0,credits_scan_dom_s_mentami/frames/WMouECVFYlk/frame_0031.jpg,"НАД ФИЛЬМОМ РАБОТАЛИ ВТОРОЙ ОПЕРАТОР АНДРЕЙ ТЫЧИНИН ФОКУС-ПУЛЛЕРЫ / МЕХАНИКИ — ЕГОР СМИРНОВ / ВИТАЛИЙ ГАЙШУН ФРОЛ СОРОКИН / МАКСИМ ОКУЛОВСКИЙ ДМИТРИЙ ЛЕБЕДИНСКИЙ ГАФФЕР АЛЕКСАНДР МАТУСЕВИЧ 'ОСВЕТИТЕЛЬ АЛЕКСЕЙ ХОХЛОВ ПРОДЮСЕР ПОСТ-ПРОДАКШН ПО ЗВУКУ АЛЕКСЕЙ ВОРОШИЛОВ ЗВУКОРЕЖИССЁР ПЕРЕЗАПИСИ АЛЕКСЕЙ ВОРОШИЛОВ ЗВУКОРЕЖИССЁР НА ПЛОЩАДКЕ — АНТОН МИГУР РЕКОРДИСТЫ РЕЧЕВОГО ОЗВУЧАНИЯ МАКСИМ КОРОТКИЙ / НАДЕЖДА БАЛАШОВА КООРДИНАТОР ПОСТ-ПРОДАКШН ПО ЗВУКУ КСЕНИЯ ОБОРИНА РЕЖИССЁР МОНТАЖА ИГОРЬ КОЛПАХЧИЕВ, К"
WMouECVFYlk,Дом с ментами | 5 серия | Тяга к природе,https://www.youtube.com/watch?v=WMouECVFYlk,Егор Смирнов,1.0,2401.0,credits_scan_dom_s_mentami/frames/WMouECVFYlk/frame_0032.jpg,"НАД ФИЛЬМОМ РАБОТАЛИ ВТОРОЙ ОПЕРАТОР АНДРЕЙ ТЫЧИНИН ФОКУС-ПУЛЛЕРЫ / МЕХАНИКИ — ЕГОР СМИРНОВ / ВИТАЛИЙ ГАЙШУН ФРОЛ СОРОКИН / МАКСИМ ОКУЛОВСКИЙ ДМИТРИЙ ЛЕБЕДИНСКИЙ ГАФФЕР АЛЕКСАНДР МАТУСЕВИЧ 'ОСВЕТИТЕЛЬ АЛЕКСЕЙ ХОХЛОВ ПРОДЮСЕР ПОСТ-ПРОДАКШН ПО ЗВУКУ АЛЕКСЕЙ ВОРОШИЛОВ ЗВУКОРЕЖИССЁР ПЕРЕЗАПИСИ АЛЕКСЕЙ ВОРОШИЛОВ ЗВУКОРЕЖИССЁР НА ПЛОЩАДКЕ — АНТОН МИГУР РЕКОРДИСТЫ РЕЧЕВОГО ОЗВУЧАНИЯ МАКСИМ КОРОТКИЙ / НАДЕЖДА БАЛАШОВА КООРДИНАТОР ПОСТ-ПРОДАКШН ПО ЗВУКУ КСЕНИЯ ОБОРИНА РЕЖИССЁР МОНТАЖА ИГОРЬ КОЛПАХЧИЕВ, К"
-1qf2IYO9rc,Дом с ментами | 8 серия | Гости дорогие,https://www.youtube.com/watch?v=-1qf2IYO9rc,Егор Смирнов,1.0,2292.0,credits_scan_dom_s_mentami/frames/-1qf2IYO9rc/frame_0022.jpg,НАД ФИЛЬМОМ РАБОТАЛИ ВТОРОЙ ОПЕРАТОР АНДРЕЙ ТЫЧИНИН ФОКУС-ПУЛЛЕРЫ / МЕХАНИКИ — ЕГОР СМИРНОВ / ВИТАЛИЙ ГАЙШУН ФРОЛ СОРОКИН / МАКСИМ ОКУЛОВСКИЙ ДМИТРИЙ ЛЕБЕДИНСКИЙ ГАФФЕР АЛЕКСАНДР МАТУСЕВИЧ 'ОСВЕТИТЕЛЬ АЛЕКСЕЙ ХОХЛОВ ПРОДЮСЕР ПОСТ-ПРОДАКШН ПО ЗВУКУ АЛЕКСЕЙ ВОРОШИЛОВ ЗВУКОРЕЖИССЁР ПЕРЕЗАПИСИ АЛЕКСЕЙ ВОРОШИЛОВ ЗВУКОРЕЖИССЁР НА ПЛОЩАДКЕ АНТОН МИГУР. РЕКОРДИСТЫ РЕЧЕВОГО ОЗВУЧАНИЯ МАКСИМ КОРОТКИЙ / НАДЕЖДА БАЛАШОВА КООРДИНАТОР ПОСТ-ПРОДАКШН ПО ЗВУКУ КСЕНИЯ ОБОРИНА. РЕЖИССЁР МОНТАЖА ИГОРЬ КОЛПАХЧИЕВ КО
-1qf2IYO9rc,Дом с ментами | 8 серия | Гости дорогие,https://www.youtube.com/watch?v=-1qf2IYO9rc,Егор Смирнов,1.0,2293.0,credits_scan_dom_s_mentami/frames/-1qf2IYO9rc/frame_0023.jpg,НАД ФИЛЬМОМ РАБОТАЛИ ВТОРОЙ ОПЕРАТОР АНДРЕЙ ТЫЧИНИН ФОКУС-ПУЛЛЕРЫ / МЕХАНИКИ — ЕГОР СМИРНОВ / ВИТАЛИЙ ГАЙШУН ФРОЛ СОРОКИН / МАКСИМ ОКУЛОВСКИЙ ДМИТРИЙ ЛЕБЕДИНСКИЙ ГАФФЕР АЛЕКСАНДР МАТУСЕВИЧ 'ОСВЕТИТЕЛЬ АЛЕКСЕЙ ХОХЛОВ ПРОДЮСЕР ПОСТ-ПРОДАКШН ПО ЗВУКУ АЛЕКСЕЙ ВОРОШИЛОВ ЗВУКОРЕЖИССЁР ПЕРЕЗАПИСИ АЛЕКСЕЙ ВОРОШИЛОВ ЗВУКОРЕЖИССЁР НА ПЛОЩАДКЕ АНТОН МИГУР. РЕКОРДИСТЫ РЕЧЕВОГО ОЗВУЧАНИЯ МАКСИМ КОРОТКИЙ / НАДЕЖДА БАЛАШОВА КООРДИНАТОР ПОСТ-ПРОДАКШН ПО ЗВУКУ КСЕНИЯ ОБОРИНА. РЕЖИССЁР МОНТАЖА ИГОРЬ КОЛПАХЧИЕВ КО
-1qf2IYO9rc,Дом с ментами | 8 серия | Гости дорогие,https://www.youtube.com/watch?v=-1qf2IYO9rc,Егор Смирнов,1.0,2294.0,credits_scan_dom_s_mentami/frames/-1qf2IYO9rc/frame_0024.jpg,НАД ФИЛЬМОМ РАБОТАЛИ ВТОРОЙ ОПЕРАТОР АНДРЕЙ ТЫЧИНИН ФОКУС-ПУЛЛЕРЫ / МЕХАНИКИ — ЕГОР СМИРНОВ / ВИТАЛИЙ ГАЙШУН ФРОЛ СОРОКИН / МАКСИМ ОКУЛОВСКИЙ ДМИТРИЙ ЛЕБЕДИНСКИЙ ГАФФЕР АЛЕКСАНДР МАТУСЕВИЧ 'ОСВЕТИТЕЛЬ АЛЕКСЕЙ ХОХЛОВ ПРОДЮСЕР ПОСТ-ПРОДАКШН ПО ЗВУКУ АЛЕКСЕЙ ВОРОШИЛОВ ЗВУКОРЕЖИССЁР ПЕРЕЗАПИСИ АЛЕКСЕЙ ВОРОШИЛОВ ЗВУКОРЕЖИССЁР НА ПЛОЩАДКЕ АНТОН МИГУР. РЕКОРДИСТЫ РЕЧЕВОГО ОЗВУЧАНИЯ МАКСИМ КОРОТКИЙ / НАДЕЖДА БАЛАШОВА КООРДИНАТОР ПОСТ-ПРОДАКШН ПО ЗВУКУ КСЕНИЯ ОБОРИНА. РЕЖИССЁР МОНТАЖА ИГОРЬ КОЛПАХЧИЕВ КО
-1qf2IYO9rc,Дом с ментами | 8 серия | Гости дорогие,https://www.youtube.com/watch?v=-1qf2IYO9rc,Егор Смирнов,1.0,2295.0,credits_scan_dom_s_mentami/frames/-1qf2IYO9rc/frame_0025.jpg,НАД ФИЛЬМОМ РАБОТАЛИ ВТОРОЙ ОПЕРАТОР АНДРЕЙ ТЫЧИНИН ФОКУС-ПУЛЛЕРЫ / МЕХАНИКИ — ЕГОР СМИРНОВ / ВИТАЛИЙ ГАЙШУН ФРОЛ СОРОКИН / МАКСИМ ОКУЛОВСКИЙ ДМИТРИЙ ЛЕБЕДИНСКИЙ ГАФФЕР АЛЕКСАНДР МАТУСЕВИЧ. 'ОСВЕТИТЕЛЬ АЛЕКСЕЙ ХОХЛОВ ПРОДЮСЕР ПОСТ-ПРОДАКШН ПО ЗВУКУ АЛЕКСЕЙ ВОРОШИЛОВ ЗВУКОРЕЖИССЁР ПЕРЕЗАПИСИ АЛЕКСЕЙ ВОРОШИЛОВ ЗВУКОРЕЖИССЁР НА ПЛОЩАДКЕ — АНТОН МИГУР РЕКОРДИСТЫ РЕЧЕВОГО ОЗВУЧАНИЯ МАКСИМ КОРОТКИЙ / НАДЕЖДА БАЛАШОВА КООРДИНАТОР ПОСТ-ПРОДАКШН ПО ЗВУКУ КСЕНИЯ ОБОРИНА РЕЖИССЁР МОНТАЖА ИГОРЬ КОЛПАХЧИЕВ К
gzWWikvSQzY,Дом с ментами | 9 серия | Рукописи не горят,https://www.youtube.com/watch?v=gzWWikvSQzY,Егор Смирнов,1.0,2396.0,credits_scan_dom_s_mentami/frames/gzWWikvSQzY/frame_0028.jpg,"НАД ФИЛЬМОМ РАБОТАЛИ ВТОРОЙ ОПЕРАТОР АНДРЕЙ ТЫЧИНИН ФОКУС-ПУЛЛЕРЫ / МЕХАНИКИ — ЕГОР СМИРНОВ / ВИТАЛИЙ ГАЙШУН ФРОЛ СОРОКИН / МАКСИМ ОКУЛОВСКИЙ ДМИТРИЙ ЛЕБЕДИНСКИЙ ГАФФЕР АЛЕКСАНДР МАТУСЕВИЧ. 'ОСВЕТИТЕЛЬ АЛЕКСЕЙ ХОХЛОВ ПРОДЮСЕР ПОСТ-ПРОДАКШН ПО ЗВУКУ АЛЕКСЕЙ ВОРОШИЛОВ ЗВУКОРЕЖИССЁР ПЕРЕЗАПИСИ АЛЕКСЕЙ ВОРОШИЛОВ ЗВУКОРЕЖИССЁР НА ПЛОЩАДКЕ АНТОН МИГУР. РЕКОРДИСТЫ РЕЧЕВОГО ОЗВУЧАНИЯ МАКСИМ КОРОТКИЙ / НАДЕЖДА БАЛАШОВА КООРДИНАТОР ПОСТ-ПРОДАКШН ПО ЗВУКУ КСЕНИЯ ОБОРИНА РЕЖИССЁР МОНТАЖА ИГОРЬ КОЛПАХЧИЕВ, К"
gzWWikvSQzY,Дом с ментами | 9 серия | Рукописи не горят,https://www.youtube.com/watch?v=gzWWikvSQzY,Егор Смирнов,1.0,2397.0,credits_scan_dom_s_mentami/frames/gzWWikvSQzY/frame_0029.jpg,"НАД ФИЛЬМОМ РАБОТАЛИ ВТОРОЙ ОПЕРАТОР АНДРЕЙ ТЫЧИНИН ФОКУС-ПУЛЛЕРЫ / МЕХАНИКИ — ЕГОР СМИРНОВ / ВИТАЛИЙ ГАЙШУН ФРОЛ СОРОКИН / МАКСИМ ОКУЛОВСКИЙ ДМИТРИЙ ЛЕБЕДИНСКИЙ ГАФФЕР АЛЕКСАНДР МАТУСЕВИЧ. 'ОСВЕТИТЕЛЬ АЛЕКСЕЙ ХОХЛОВ ПРОДЮСЕР ПОСТ-ПРОДАКШН ПО ЗВУКУ АЛЕКСЕЙ ВОРОШИЛОВ ЗВУКОРЕЖИССЁР ПЕРЕЗАПИСИ АЛЕКСЕЙ ВОРОШИЛОВ ЗВУКОРЕЖИССЁР НА ПЛОЩАДКЕ АНТОН МИГУР. РЕКОРДИСТЫ РЕЧЕВОГО ОЗВУЧАНИЯ МАКСИМ КОРОТКИЙ / НАДЕЖДА БАЛАШОВА КООРДИНАТОР ПОСТ-ПРОДАКШН ПО ЗВУКУ КСЕНИЯ ОБОРИНА. РЕЖИССЁР МОНТАЖА ИГОРЬ КОЛПАХЧИЕВ, "
gzWWikvSQzY,Дом с ментами | 9 серия | Рукописи не горят,https://www.youtube.com/watch?v=gzWWikvSQzY,Егор Смирнов,1.0,2398.0,credits_scan_dom_s_mentami/frames/gzWWikvSQzY/frame_0030.jpg,"НАД ФИЛЬМОМ РАБОТАЛИ ВТОРОЙ ОПЕРАТОР АНДРЕЙ ТЫЧИНИН ФОКУС-ПУЛЛЕРЫ / МЕХАНИКИ — ЕГОР СМИРНОВ / ВИТАЛИЙ ГАЙШУН ФРОЛ СОРОКИН / МАКСИМ ОКУЛОВСКИЙ ДМИТРИЙ ЛЕБЕДИНСКИЙ ГАФФЕР АЛЕКСАНДР МАТУСЕВИЧ. 'ОСВЕТИТЕЛЬ АЛЕКСЕЙ ХОХЛОВ ПРОДЮСЕР ПОСТ-ПРОДАКШН ПО ЗВУКУ АЛЕКСЕЙ ВОРОШИЛОВ ЗВУКОРЕЖИССЁР ПЕРЕЗАПИСИ АЛЕКСЕЙ ВОРОШИЛОВ ЗВУКОРЕЖИССЁР НА ПЛОЩАДКЕ АНТОН МИГУР. РЕКОРДИСТЫ РЕЧЕВОГО ОЗВУЧАНИЯ МАКСИМ КОРОТКИЙ / НАДЕЖДА БАЛАШОВА КООРДИНАТОР ПОСТ-ПРОДАКШН ПО ЗВУКУ КСЕНИЯ ОБОРИНА. РЕЖИССЁР МОНТАЖА ИГОРЬ КОЛПАХЧИЕВ, "
